nn_data_set,nn_data,batch,num_runs,digital_only,adc_type,verbose,parasitics,nn_name,xbar_size,hrs_lrs,resolution,m_mode,hrs_noise,lrs_noise,ifm,top1,top5,top1_baseline,top5_baseline,top1_batch,top5_batch,sim_time_batch_ns,config_idx
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,1,"[32, 32, 3]",41.75,83.625,95.5,100.0,"[0.47, 0.43, 0.4, 0.37]","[0.86, 0.84, 0.815, 0.83]","[1843181194315, 1927554579768, 1902536862603, 1874048526210]",0.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,1.5,"[32, 32, 3]",40.0,83.125,95.5,100.0,"[0.49, 0.41, 0.345, 0.355]","[0.855, 0.86, 0.78, 0.83]","[1881300368899, 1823135848427, 1911234110772, 1933316801775]",1.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,2,"[32, 32, 3]",40.375,83.625,95.5,100.0,"[0.465, 0.4, 0.36, 0.39]","[0.875, 0.83, 0.815, 0.825]","[1820988073303, 1926646601688, 1847011350256, 1910147161138]",2.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,2.5,"[32, 32, 3]",40.625,82.625,95.5,100.0,"[0.455, 0.425, 0.365, 0.38]","[0.87, 0.83, 0.805, 0.8]","[1771222134636, 1949943927185, 1939456494126, 1900209416696]",3.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,3,"[32, 32, 3]",39.375,82.625,95.5,100.0,"[0.46, 0.42, 0.345, 0.35]","[0.85, 0.85, 0.79, 0.815]","[1859726297174, 1900005750554, 1790831713691, 1923663405654]",4.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,3.5,"[32, 32, 3]",40.0,84.25,95.5,100.0,"[0.44, 0.425, 0.365, 0.37]","[0.855, 0.865, 0.815, 0.835]","[1922287427339, 1916679949776, 1936338550613, 1876011662220]",5.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,3.16,"[32, 32, 3]",40.25,83.75,95.5,100.0,"[0.485, 0.385, 0.38, 0.36]","[0.875, 0.825, 0.805, 0.845]","[1959760356213, 1957724826094, 1819511033212, 1839895208841]",6.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,4,"[32, 32, 3]",41.125,82.625,95.5,100.0,"[0.45, 0.43, 0.39, 0.375]","[0.855, 0.825, 0.8, 0.825]","[1910363308193, 1742912961117, 1877773226842, 1841890841441]",7.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,4.5,"[32, 32, 3]",39.375,83.25,95.5,100.0,"[0.44, 0.415, 0.39, 0.33]","[0.85, 0.84, 0.815, 0.825]","[1825783201768, 1930476818563, 1919412387557, 1860127071878]",8.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,5,"[32, 32, 3]",42.625,82.875,95.5,100.0,"[0.485, 0.41, 0.405, 0.405]","[0.845, 0.84, 0.805, 0.825]","[1912692190570, 1908649976200, 1908911078284, 1830087338293]",9.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,5.5,"[32, 32, 3]",40.875,83.75,95.5,100.0,"[0.49, 0.395, 0.385, 0.365]","[0.855, 0.85, 0.815, 0.83]","[1944211001400, 1888242189489, 1982815289644, 1728539115941]",10.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,6,"[32, 32, 3]",40.5,81.125,95.5,100.0,"[0.465, 0.395, 0.415, 0.345]","[0.85, 0.79, 0.795, 0.81]","[1963471606599, 1932626759833, 1907457308779, 1802539911676]",11.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,6.5,"[32, 32, 3]",40.125,84.25,95.5,100.0,"[0.455, 0.425, 0.38, 0.345]","[0.855, 0.865, 0.81, 0.84]","[1858336231047, 1925973722964, 1882669268403, 1865451125377]",12.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,7,"[32, 32, 3]",41.25,83.375,95.5,100.0,"[0.435, 0.45, 0.4, 0.365]","[0.85, 0.865, 0.81, 0.81]","[1929394409381, 1921988064846, 1883758138323, 1854243533040]",13.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,7.5,"[32, 32, 3]",39.625,83.25,95.5,100.0,"[0.46, 0.445, 0.305, 0.375]","[0.825, 0.825, 0.84, 0.84]","[1951415009243, 1931488035256, 1925700012774, 1742138375174]",14.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,8,"[32, 32, 3]",40.375,84.875,95.5,100.0,"[0.445, 0.39, 0.4, 0.38]","[0.89, 0.845, 0.835, 0.825]","[1948185384545, 1929922433634, 1889132189403, 1831369237583]",15.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,8.5,"[32, 32, 3]",41.125,82.25,95.5,100.0,"[0.49, 0.43, 0.37, 0.355]","[0.875, 0.82, 0.765, 0.83]","[1881382347669, 1770144924224, 1872721354534, 1914135980389]",16.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,8.74,"[32, 32, 3]",41.625,84.625,95.5,100.0,"[0.495, 0.41, 0.36, 0.4]","[0.86, 0.845, 0.82, 0.86]","[1931610152727, 1941811579544, 1898633180757, 1788920614716]",17.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,9,"[32, 32, 3]",41.5,84.125,95.5,100.0,"[0.49, 0.435, 0.34, 0.395]","[0.88, 0.82, 0.815, 0.85]","[1936587622759, 1894975068189, 1955361164250, 1814462452474]",18.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,9.5,"[32, 32, 3]",39.5,84.875,95.5,100.0,"[0.44, 0.395, 0.4, 0.345]","[0.89, 0.845, 0.825, 0.835]","[1935998489937, 1940600649169, 1815894998900, 1878698590232]",19.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,10,"[32, 32, 3]",39.625,83.125,95.5,100.0,"[0.475, 0.385, 0.41, 0.315]","[0.855, 0.845, 0.815, 0.81]","[1881914545269, 1934811479639, 1828458836321, 1908398718998]",20.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,10.5,"[32, 32, 3]",38.75,84.0,95.5,100.0,"[0.465, 0.395, 0.38, 0.31]","[0.85, 0.85, 0.8, 0.86]","[1913335948478, 1761099757286, 1951183992239, 1913556812305]",21.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_III,2.3,11,"[32, 32, 3]",40.5,83.125,95.5,100.0,"[0.45, 0.435, 0.37, 0.365]","[0.85, 0.85, 0.82, 0.805]","[1885127153549, 1757576167316, 1961852685279, 1902898322545]",22.0
