nn_data_set,nn_data,batch,num_runs,digital_only,adc_type,verbose,parasitics,nn_name,xbar_size,hrs_lrs,resolution,m_mode,hrs_noise,lrs_noise,ifm,top1,top5,top1_baseline,top5_baseline,top1_batch,top5_batch,sim_time_batch_ns,config_idx
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,1.0,"[32, 32, 3]",41.625,83.875,95.5,100.0,"[0.48, 0.41, 0.39, 0.385]","[0.885, 0.82, 0.815, 0.835]","[1886457173073, 1938651760020, 1897488569369, 1935334848253]",0.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,1.5,"[32, 32, 3]",39.75,84.0,95.5,100.0,"[0.44, 0.41, 0.375, 0.365]","[0.86, 0.85, 0.8, 0.85]","[1938474726653, 1867697373649, 1918445737910, 1919441394944]",1.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,2.0,"[32, 32, 3]",41.125,83.875,95.5,100.0,"[0.45, 0.41, 0.405, 0.38]","[0.87, 0.855, 0.825, 0.805]","[1952211687726, 1936208813076, 1920967931240, 1917475839414]",2.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,2.5,"[32, 32, 3]",39.375,83.5,95.5,100.0,"[0.44, 0.405, 0.37, 0.36]","[0.85, 0.86, 0.795, 0.835]","[1938182751280, 1920480384839, 1952300583956, 1912728738897]",3.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,3.0,"[32, 32, 3]",40.375,83.375,95.5,100.0,"[0.49, 0.4, 0.38, 0.345]","[0.855, 0.85, 0.805, 0.825]","[1972940902394, 1910831952483, 1906023685026, 1923376665172]",4.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,3.5,"[32, 32, 3]",40.5,82.375,95.5,100.0,"[0.46, 0.425, 0.37, 0.365]","[0.855, 0.83, 0.795, 0.815]","[1933024241024, 1892031763084, 1895952505849, 1923525370362]",5.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,3.16,"[32, 32, 3]",40.875,83.875,95.5,100.0,"[0.465, 0.425, 0.385, 0.36]","[0.85, 0.845, 0.815, 0.845]","[1884776743078, 1899055687599, 1929469846762, 1913360581937]",6.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,4.0,"[32, 32, 3]",39.625,84.125,95.5,100.0,"[0.445, 0.4, 0.38, 0.36]","[0.87, 0.85, 0.815, 0.83]","[1924884887428, 1882440095479, 1955438504259, 1900147988957]",7.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,4.5,"[32, 32, 3]",40.0,83.125,95.5,100.0,"[0.47, 0.42, 0.405, 0.305]","[0.87, 0.855, 0.785, 0.815]","[1943173542385, 1915632860735, 2002847755804, 1931915595814]",8.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,5.0,"[32, 32, 3]",38.625,83.625,95.5,100.0,"[0.47, 0.415, 0.335, 0.325]","[0.87, 0.83, 0.815, 0.83]","[1924605305495, 1944970484568, 1908748679403, 1919642646104]",9.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,5.5,"[32, 32, 3]",42.625,83.375,95.5,100.0,"[0.5, 0.425, 0.39, 0.39]","[0.86, 0.83, 0.815, 0.83]","[1984321641395, 1923481991785, 1875537054139, 1912289188461]",10.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,6.0,"[32, 32, 3]",39.5,83.25,95.5,100.0,"[0.46, 0.435, 0.35, 0.335]","[0.88, 0.805, 0.825, 0.82]","[1929525971477, 1915517447876, 1921084684588, 1921725743590]",11.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,6.5,"[32, 32, 3]",41.25,83.75,95.5,100.0,"[0.505, 0.405, 0.36, 0.38]","[0.85, 0.84, 0.825, 0.835]","[1937193613232, 1876033111118, 1934358440328, 1920018187655]",12.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,7.0,"[32, 32, 3]",41.5,82.875,95.5,100.0,"[0.465, 0.43, 0.38, 0.385]","[0.835, 0.84, 0.805, 0.835]","[1919970447265, 1958439211716, 1893547309663, 1908785482234]",13.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,7.5,"[32, 32, 3]",39.0,82.75,95.5,100.0,"[0.39, 0.465, 0.335, 0.37]","[0.88, 0.84, 0.785, 0.805]","[1936563721960, 1914980153618, 1939698330217, 1908058798841]",14.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 48]",-1,BNN_IV,2.3,8.0,"[32, 32, 3]",39.75,84.5,95.5,100.0,"[0.42, 0.445, 0.38, 0.345]","[0.855, 0.865, 0.82, 0.84]","[1979046635834, 1930898900966, 1924766939778, 1923434564914]",15.0
