nn_data_set,nn_data,batch,num_runs,digital_only,adc_type,verbose,parasitics,nn_name,xbar_size,hrs_lrs,resolution,m_mode,hrs_noise,lrs_noise,ifm,top1,top5,top1_baseline,top5_baseline,top1_batch,top5_batch,sim_time_batch_ns,config_idx
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,1,"[32, 32, 3]",99.25,100.0,99.75,100.0,"[0.985, 0.995, 0.995, 0.995]","[1.0, 1.0, 1.0, 1.0]","[566574982164, 543360846006, 536249964218, 515698339271]",0.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,1.5,"[32, 32, 3]",98.75,100.0,99.75,100.0,"[0.98, 0.995, 0.99, 0.985]","[1.0, 1.0, 1.0, 1.0]","[565787534702, 558824935541, 541667916568, 526841204498]",1.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,2,"[32, 32, 3]",99.5,100.0,99.75,100.0,"[1.0, 0.99, 0.99, 1.0]","[1.0, 1.0, 1.0, 1.0]","[564426724575, 553406000631, 547789137009, 511108413213]",2.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,2.5,"[32, 32, 3]",99.25,100.0,99.75,100.0,"[0.985, 0.99, 0.995, 1.0]","[1.0, 1.0, 1.0, 1.0]","[560332340363, 561080337582, 555074981431, 522993212169]",3.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,3,"[32, 32, 3]",99.125,100.0,99.75,100.0,"[0.985, 0.985, 0.995, 1.0]","[1.0, 1.0, 1.0, 1.0]","[565761425101, 546853715892, 550501673841, 508423474066]",4.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,3.5,"[32, 32, 3]",99.0,100.0,99.75,100.0,"[0.99, 0.995, 0.995, 0.98]","[1.0, 1.0, 1.0, 1.0]","[570590915673, 558708770495, 542406230534, 511645654573]",5.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,3.16,"[32, 32, 3]",99.125,100.0,99.75,100.0,"[0.985, 0.995, 0.985, 1.0]","[1.0, 1.0, 1.0, 1.0]","[549002094933, 561802609852, 550237984832, 523328119431]",6.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,4,"[32, 32, 3]",99.125,100.0,99.75,100.0,"[0.99, 0.995, 0.99, 0.99]","[1.0, 1.0, 1.0, 1.0]","[555660614890, 559323034945, 557864022444, 529242657708]",7.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,4.5,"[32, 32, 3]",98.625,100.0,99.75,100.0,"[0.995, 0.99, 0.98, 0.98]","[1.0, 1.0, 1.0, 1.0]","[563304704168, 564006761258, 549408783844, 523230997668]",8.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,5,"[32, 32, 3]",98.75,100.0,99.75,100.0,"[1.0, 0.995, 0.97, 0.985]","[1.0, 1.0, 1.0, 1.0]","[573402984209, 568383441209, 549979999807, 521485735011]",9.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,5.5,"[32, 32, 3]",98.5,100.0,99.75,100.0,"[0.98, 0.985, 0.98, 0.995]","[1.0, 1.0, 1.0, 1.0]","[569080013094, 558923295781, 543417558760, 523372474259]",10.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,6,"[32, 32, 3]",98.0,99.875,99.75,100.0,"[0.98, 0.985, 0.99, 0.965]","[1.0, 1.0, 1.0, 0.995]","[569930411273, 562342370198, 542171142122, 521570672572]",11.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,6.5,"[32, 32, 3]",97.875,100.0,99.75,100.0,"[0.97, 0.98, 0.99, 0.975]","[1.0, 1.0, 1.0, 1.0]","[562116409902, 566803926517, 551818090085, 519961774073]",12.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,7,"[32, 32, 3]",96.375,99.875,99.75,100.0,"[0.965, 0.965, 0.955, 0.97]","[1.0, 1.0, 1.0, 0.995]","[552292397089, 552009905449, 535019476445, 522256558203]",13.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,7.5,"[32, 32, 3]",94.125,100.0,99.75,100.0,"[0.94, 0.905, 0.965, 0.955]","[1.0, 1.0, 1.0, 1.0]","[569476987417, 546550317091, 535011842966, 533999856697]",14.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[256, 256]","[5, 21]",-1,BNN_IV,2.3,8,"[32, 32, 3]",95.625,99.75,99.75,100.0,"[0.975, 0.93, 0.96, 0.96]","[1.0, 0.995, 1.0, 0.995]","[576512604712, 556211732933, 552775330507, 510914602626]",15.0
