nn_data_set,nn_data,batch,num_runs,digital_only,adc_type,verbose,parasitics,nn_name,xbar_size,hrs_lrs,resolution,m_mode,hrs_noise,lrs_noise,ifm,top1,top5,top1_baseline,top5_baseline,top1_batch,top5_batch,sim_time_batch_ns,config_idx
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,1,"[32, 32, 3]",41.625,83.125,95.5,100.0,"[0.47, 0.39, 0.385, 0.42]","[0.84, 0.845, 0.815, 0.825]","[2400179617875, 2377801818563, 2396031649334, 2385085456022]",0.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,1.5,"[32, 32, 3]",40.5,83.25,95.5,100.0,"[0.45, 0.415, 0.375, 0.38]","[0.85, 0.84, 0.82, 0.82]","[2396579407246, 2367521944747, 2376838552144, 2382826473929]",1.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,2,"[32, 32, 3]",39.25,84.625,95.5,100.0,"[0.43, 0.395, 0.37, 0.375]","[0.855, 0.855, 0.85, 0.825]","[2404626391654, 2372958180766, 2375368839460, 2371356259626]",2.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,2.5,"[32, 32, 3]",40.5,84.125,95.5,100.0,"[0.475, 0.405, 0.375, 0.365]","[0.875, 0.845, 0.805, 0.84]","[2386601064724, 2384527261286, 2374250430121, 2394687880394]",3.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,3,"[32, 32, 3]",39.75,83.25,95.5,100.0,"[0.445, 0.41, 0.355, 0.38]","[0.85, 0.845, 0.82, 0.815]","[2372597748635, 2373013759246, 2389143925747, 2376853494628]",4.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,3.5,"[32, 32, 3]",40.0,83.625,95.5,100.0,"[0.4, 0.425, 0.39, 0.385]","[0.845, 0.855, 0.815, 0.83]","[2368561534709, 2378688469280, 2375705958403, 2391817656799]",5.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,3.16,"[32, 32, 3]",39.0,83.25,95.5,100.0,"[0.45, 0.385, 0.35, 0.375]","[0.865, 0.815, 0.8, 0.85]","[2393776644580, 2389012464650, 2364184704327, 2384086010492]",6.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,4,"[32, 32, 3]",42.0,80.25,95.5,100.0,"[0.43, 0.485, 0.35, 0.415]","[0.84, 0.81, 0.79, 0.77]","[2354731985540, 2397793243403, 2374390700747, 2375041087622]",7.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,4.5,"[32, 32, 3]",40.25,82.75,95.5,100.0,"[0.49, 0.36, 0.35, 0.41]","[0.865, 0.83, 0.825, 0.79]","[2394434714506, 2364556887554, 2363169044612, 2402842822747]",8.0
cifar10,TRAIN,200,4,False,INF_ADC,False,False,VGG7,"[16, 16]","[5, 21]",-1,BNN_IV,2.3,5,"[32, 32, 3]",36.875,84.25,95.5,100.0,"[0.47, 0.38, 0.325, 0.3]","[0.875, 0.87, 0.845, 0.78]","[2385981982865, 2383483976307, 2383811854092, 2404486781602]",9.0
